Allele	P.value	RAF	OR	Beta	Cl	Mapped.gene	Location
rs4147929-?	3x10-8	NR	1.0491707	-	[1.03-1.07]	ABCA7	19:1063444
rs3752231-?	6x10-11	NR	-	-	-	ABCA7	19:1043639
rs4147929-A	6x10-7	NR	-	5.01z-unitincrease	NR	ABCA7	19:1063444
rs3752241-G	4x10-10	0.1656	-	6.273173z-unitdecrease	NR	ABCA7	19:1053525
rs3752241-G	3x10-8	NR	-	5.55z-scoredecrease	NR	ABCA7	19:1053525
rs111243475-?	5x10-8	NR	-	-	-	AC005779.1,AC005779.2,MARK4	19:45188312
rs595290-?	7x10-12	NR	-	-	-	AC005779.1,MARK4	19:45205150
rs73566293-?	5x10-8	NR	-	-	-	AC005779.1,MARK4	19:45209421
rs595290-?	7x10-21	NR	-	-	-	AC005779.1,MARK4	19:45205150
rs595290-C	7x10-23	0.1582	-	9.847612z-unitincrease	NR	AC005779.1,MARK4	19:45205150
rs12463049-?	5x10-8	NR	-	-	-	AC005779.1,MARK4,AC005779.2	19:45187692
rs6504163-?	7x10-7	NR	-	-	-	AC005828.5,PPIAP55	17:63468418
rs6504163-?	5x10-9	NR	1.05	-	[1.03-1.07]	AC005828.5,PPIAP55	17:63468418
rs157580-?	6x10-120	NR	-	-	-	AC011481.1	19:44892009
rs141864196-?	2x10-6	NR	-	-	-	AC011481.1	19:44902242
rs11668327-?	5x10-8	NR	-	-	-	AC011481.1	19:44895376
rs61679753-?	5x10-8	NR	-	-	-	AC011481.1	19:44897490
rs35568738-?	5x10-8	NR	-	-	-	AC011481.1	19:44899461
rs157580-?	2x10-208	NR	-	-	-	AC011481.1	19:44892009
rs760136-?	5x10-8	NR	-	-	-	AC011481.1	19:44900601
rs405697-?	5x10-8	NR	-	-	-	AC011481.1	19:44901434
rs141864196-?	5x10-8	NR	-	-	-	AC011481.1	19:44902242
rs76692773-T	9x10-24	0.07319	-	10.04716z-unitdecrease	NR	AC011481.1	19:44890954
rs1160984-T	2x10-20	0.05762	-	9.292308z-unitdecrease	NR	AC011481.1	19:44900667
rs142412517-T	2x10-12	0.001157	-	7.033927z-unitincrease	NR	AC011481.1	19:44900801
rs141864196-A	3x10-10	0.02628	-	6.313068z-unitdecrease	NR	AC011481.1	19:44902242
rs561654715-A	9x10-19	0.002832	-	8.842536z-unitincrease	NR	AC011481.1	19:44890947
rs157580-G	8x10-220	0.3949	-	31.6502z-unitdecrease	NR	AC011481.1	19:44892009
rs117310449-?	5x10-8	NR	-	-	-	AC011481.3	19:44890259
rs283810-?	5x10-8	NR	-	-	-	AC011481.3,NECTIN2	19:44884984
rs1081105-?	1x10-136	NR	-	-	-	AC011481.4	19:44909698
rs1081106-?	5x10-8	NR	-	-	-	AC011481.4	19:44910109
rs59325138-?	5x10-8	NR	-	-	-	AC011481.4	19:44913034
rs138235833-?	5x10-8	NR	-	-	-	AC011481.4	19:44912028
rs1081105-?	1x10-162	NR	-	-	-	AC011481.4	19:44909698
rs1081105-C	1x10-231	0.02756	-	32.50298z-unitincrease	NR	AC011481.4	19:44909698
rs75627662-T	1x10-295	NR	-	36.79z-scoreincrease	NR	AC011481.4	19:44910319
rs113260531-A	9x10-10	0.12	-	6.12z-unitincrease	NR	AC087500.1	17:5235685
rs7225151-?	4x10-6	NR	-	-	-	AC087500.1,SCIMP	17:5233752
rs7225151-?	1x10-10	NR	-	-	-	AC087500.1,SCIMP	17:5233752
rs28394864-A	2x10-8	0.473	-	5.62z-unitincrease	NR	AC091180.5	17:49373413
rs28394864-A	7x10-6	NR	-	4.5z-scoreincrease	NR	AC091180.5	17:49373413
rs140824606-?	4x10-26	NR	-	-	-	AC092306.1,BCAM	19:44807827
rs140824606-?	4x10-26	NR	-	-	-	AC092306.1,BCAM	19:44807827
rs2965164-?	5x10-7	NR	-	-	-	AC243964.2	19:44698782
rs11881756-?	3x10-9	NR	-	-	-	AC243964.2	19:44717621
rs79638902-?	5x10-8	NR	-	-	-	AC243964.2	19:44718495
rs2965162-?	5x10-8	NR	-	-	-	AC243964.2	19:44695666
rs2965164-?	1x10-11	NR	-	-	-	AC243964.2	19:44698782
rs76670936-?	5x10-8	NR	-	-	-	AC243964.2	19:44693311
rs2965156-?	5x10-8	NR	-	-	-	AC243964.2	19:44685157
